You are labeling stories for a cognitive-bias detection training dataset.
For EACH story below, identify which of these bias ids are clearly present:
affect_heuristic, ambiguity_effect, anchoring_bias, authority_bias, availability_heuristic, bandwagon_effect, base_rate_neglect, choice_supportive_bias, confirmation_bias, curse_of_knowledge, decoy_effect, dunning_kruger_effect, escalation_of_commitment, framing_effect, fundamental_attribution_error, gamblers_fallacy, halo_effect, hindsight_bias, hot_hand_fallacy, illusion_of_control, in_group_bias, loss_aversion, narrative_fallacy, negativity_bias, omission_bias, optimism_bias, overconfidence_bias, planning_fallacy, projection_bias, recency_bias, representativeness_heuristic, self_serving_bias, spotlight_effect, status_quo_bias, stereotyping_bias, sunk_cost_fallacy, survivorship_bias, zero_risk_bias

Rules:
- Use ONLY ids from the list above, exact spelling. Do not invent new bias names.
- A story may have zero, one, or multiple bias ids. Most have 1-3.
- Only include an id if the story text clearly supports it -- no speculative labels.
- Return ONLY a JSON array, one object per story, in the SAME ORDER given, no other text, no markdown code fences:
  [{"id": "<story id>", "bias_ids": ["..."]}]

There are 160 stories below -- label all of them in one response.

STORIES:
{"id": "co_b5_pos_001", "story": "After reviewing the quarterly numbers I kept the prior forecast in my head and drafted the client memo around that figure instead of rebuilding the model from the updated inputs. New churn and a competitor\u2019s discount were visible in the spreadsheets, yet I emphasized the familiar headline and argued for only a modest tweak. In meetings I repeatedly referenced the old number as the baseline and treated fresh metrics as short\u2011term noise rather than re\u2011deriving valuation."}
{"id": "co_b5_pos_002", "story": "After mentoring a junior engineer I recommended them for promotion when a role opened and then defended that choice despite missed deadlines and recurring bugs. I kept telling colleagues they were a cultural fit and would improve with time, resisting formal corrective steps because I had publicly vouched for them. Each defense made it harder to change course and I found myself protecting the earlier decision rather than documenting objective performance evidence."}
{"id": "co_b5_pos_003", "story": "During a textile restoration I used the cleaning protocol that had worked on a similar weave years ago and assumed the fiber would respond the same. When unexpected discoloration appeared I blamed storage conditions and told the team the method was proven, delaying a controlled test on the specific fabric. My confidence in the earlier success made me underweight the new signs that suggested a different solvent or gentler mechanical approach was required."}
{"id": "co_b5_pos_004", "story": "On a busy clinic shift I prioritized a patient\u2019s anxiety history when writing the assessment and downplayed objective cardiac signs. Troponin was mildly elevated and the ECG showed new changes, yet I framed those findings as likely noncardiac and recommended discharge with reassurance. I did not escalate monitoring because the psychiatric narrative felt more salient, and later follow\u2011up revealed the physiological concern had been underappreciated in my initial judgment."}
{"id": "co_b5_pos_005", "story": "Leading a field survey, a junior researcher flagged an odd fungal specimen and I dismissed it as contamination because our prior samples had been clean; I moved on without photographing the context. Weeks later lab sequencing showed the specimen was a rare species. My reliance on earlier clean runs made me discount the anomalous sample instead of treating it as a potential discovery worth immediate follow\u2011up and documentation."}
{"id": "co_b5_pos_006", "story": "After several small milestones I argued for more runway and kept allocating budget to the prototype, telling investors we were close to product\u2011market fit. When a competitor launched a superior solution I still defended the roadmap and pushed more funding into the same features, citing past investment and team momentum. I avoided a cold re\u2011evaluation and framed each setback as temporary, which made it harder to stop pouring resources into a project that looked unlikely to win."}
{"id": "co_b5_pos_007", "story": "At the bonsai workshop I followed the pruning schedule that had produced good results on one cultivar and assumed it would translate to a different species. When leaf drop began I advised patience and blamed seasonal variation rather than testing soil pH or root health. My reliance on the prior success story made me underweight the new signs that pointed to a root problem requiring intervention rather than more of the same care."}
{"id": "co_b5_pos_008", "story": "Running the aquarium system, I reused the filtration setup that had worked in a smaller tank and assumed it would scale. When algae blooms started I emphasized that the equipment had worked before and blamed the lighting schedule, delaying a nutrient analysis. My confidence in the earlier configuration prevented me from treating the larger volume as a distinct engineering problem that required fresh measurements and recalibration."}
{"id": "co_b5_pos_009", "story": "During contract negotiations I highlighted clauses that supported our position and mentioned a broad cap on liability only in passing. In the summary I presented the indemnity as buyer\u2011favorable and framed the cap as a standard caveat, which left leadership with the impression the deal was safe. My selective emphasis made the conclusion misleading about actual downstream exposure and reduced the urgency of negotiating the cap."}
{"id": "co_b5_pos_010", "story": "Organizing the community theater season, I kept the same director because prior shows had been hits, and when a new director proposed a different staging I argued for continuity. I framed the change as risky and emphasized past successes, resisting a pilot collaboration. My attachment to earlier wins made me slow to test new approaches that might have refreshed the repertoire and attracted different audiences."}
{"id": "co_b5_pos_011", "story": "After a string of small wins at the racetrack I told the crew to stick with the same tire compound because it had worked in recent heats; when conditions shifted the car lost grip and we finished poorly. I kept arguing the compound was right because of the earlier streak, and I delayed trying a different setup that might have matched the new track conditions."}
{"id": "co_b5_pos_012", "story": "At the family poker night I kept betting aggressively after a few early wins and convinced myself the table had shifted in my favor; when the next hand lost I doubled down because the prior streak felt predictive. My behavior ignored the underlying odds and treated the short run of wins as evidence of a lasting edge rather than random variance."}
{"id": "co_b5_pos_013", "story": "Writing a product testimonial, I emphasized the single success story where the tool saved a client hours and framed the product as broadly transformative. The dataset had many neutral outcomes, but I foregrounded the vivid win to persuade partners to adopt the workflow. My narrative made the program look more robust than the aggregate results warranted and downplayed the typical case."}
{"id": "co_b5_pos_014", "story": "After a few seasons of successful route planning I assumed the same checkpoints would be optimal and resisted redesigning the orienteering course for new terrain. When several teams reported confusion I still defended the layout because it had worked before, framing complaints as isolated errors rather than evidence the course needed redesign."}
{"id": "co_b5_pos_015", "story": "I recommended the same legal strategy we\u2019d used successfully in earlier cases and framed the current negotiation as likely to resolve the same way. When the counterparty introduced a novel clause I downplayed its significance and told leadership precedent would carry us through. My emphasis on past wins made me underappreciate the new risk and the team later had to reopen negotiations when the clause proved material."}
{"id": "co_b5_edge_001", "story": "I drafted the release note and emphasized the one metric that improved after the update while placing mixed signals in a short appendix. The phrasing nudged readers toward a positive interpretation even though the overall trend was ambiguous; a careful reviewer could debate whether the emphasis shaped perception more than the raw numbers did, or accept it as a concise editorial choice for a short summary."}
{"id": "co_b5_edge_002", "story": "Warning volunteers about skipping the preflight checklist, I recounted a few dramatic incidents that stuck in my memory. Maintenance logs show most runs succeed when procedures are followed, but my warnings emphasize vivid failures and make teams more risk\u2011averse than base rates justify. The tension between memorable incidents and the base rate makes the judgment subtle rather than clearly wrong."}
{"id": "co_b5_edge_003", "story": "I recommended a mid\u2011range sail trim because it matched the setup that had worked in recent regattas; a teammate pointed out a newer rigging option with better theoretical performance, but I still favored the familiar setup. The choice is defensible on crew familiarity, yet it could reflect a subtle preference for what succeeded recently rather than a full evaluation of current conditions."}
